sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked
e02818-2-18S	e02818-2-18S	1	e02818-2-18S_S55_L001_R1_001.fastq.gz	e02818-2-18S_S55_L001_R2_001.fastq.gz	26424	26424	25830	25830	25768	25768	25668	25668	25668
e02819-1-18S	e02819-1-18S	1	e02819-1-18S_S19_L001_R1_001.fastq.gz	e02819-1-18S_S19_L001_R2_001.fastq.gz	204493	204493	200889	200889	200537	200537	194324	194324	190335
e02819-2-18S	e02819-2-18S	1	e02819-2-18S_S56_L001_R1_001.fastq.gz	e02819-2-18S_S56_L001_R2_001.fastq.gz	26864	26864	26280	26280	26235	26235	25416	25416	25289
e02820-1-18S	e02820-1-18S	1	e02820-1-18S_S20_L001_R1_001.fastq.gz	e02820-1-18S_S20_L001_R2_001.fastq.gz	24593	24593	24109	24109	24038	24038	23927	23927	23927
e02820-2-18S	e02820-2-18S	1	e02820-2-18S_S57_L001_R1_001.fastq.gz	e02820-2-18S_S57_L001_R2_001.fastq.gz	25876	25876	25359	25359	25307	25307	25218	25218	25218
e02821-1-18S	e02821-1-18S	1	e02821-1-18S_S21_L001_R1_001.fastq.gz	e02821-1-18S_S21_L001_R2_001.fastq.gz	28105	28105	27510	27510	27430	27430	27174	27174	27114
e02821-2-18S	e02821-2-18S	1	e02821-2-18S_S58_L001_R1_001.fastq.gz	e02821-2-18S_S58_L001_R2_001.fastq.gz	26119	26119	25621	25621	25545	25545	25153	25153	25143
e02822-1-18S	e02822-1-18S	1	e02822-1-18S_S22_L001_R1_001.fastq.gz	e02822-1-18S_S22_L001_R2_001.fastq.gz	22483	22483	22072	22072	22019	22019	21692	21692	21692
e02822-2-18S	e02822-2-18S	1	e02822-2-18S_S59_L001_R1_001.fastq.gz	e02822-2-18S_S59_L001_R2_001.fastq.gz	34089	34089	30278	30278	30109	30109	29721	29721	29707
e02823-1-18S	e02823-1-18S	1	e02823-1-18S_S23_L001_R1_001.fastq.gz	e02823-1-18S_S23_L001_R2_001.fastq.gz	29463	29463	28796	28796	28722	28722	28496	28496	28496
e02823-2-18S	e02823-2-18S	1	e02823-2-18S_S60_L001_R1_001.fastq.gz	e02823-2-18S_S60_L001_R2_001.fastq.gz	29099	29099	28467	28467	28396	28396	28231	28231	28231
e02824-1-18S	e02824-1-18S	1	e02824-1-18S_S24_L001_R1_001.fastq.gz	e02824-1-18S_S24_L001_R2_001.fastq.gz	21518	21518	21113	21113	21072	21072	20554	20554	20550
e02824-2-18S	e02824-2-18S	1	e02824-2-18S_S61_L001_R1_001.fastq.gz	e02824-2-18S_S61_L001_R2_001.fastq.gz	16426	16426	15972	15972	15939	15939	15668	15668	15668
e02825-1-18S	e02825-1-18S	1	e02825-1-18S_S25_L001_R1_001.fastq.gz	e02825-1-18S_S25_L001_R2_001.fastq.gz	35462	35462	34770	34770	34683	34683	34201	34201	34149
e02825-2-18S	e02825-2-18S	1	e02825-2-18S_S62_L001_R1_001.fastq.gz	e02825-2-18S_S62_L001_R2_001.fastq.gz	24642	24642	24124	24124	23998	23998	23740	23740	23680
e02826-1-18S	e02826-1-18S	1	e02826-1-18S_S26_L001_R1_001.fastq.gz	e02826-1-18S_S26_L001_R2_001.fastq.gz	28356	28356	27755	27755	27683	27683	27537	27537	27534
e02826-2-18S	e02826-2-18S	1	e02826-2-18S_S63_L001_R1_001.fastq.gz	e02826-2-18S_S63_L001_R2_001.fastq.gz	29617	29617	28996	28996	28919	28919	28807	28807	28770
e02827-1-18S	e02827-1-18S	1	e02827-1-18S_S27_L001_R1_001.fastq.gz	e02827-1-18S_S27_L001_R2_001.fastq.gz	19082	19082	18668	18668	18609	18609	18348	18348	18336
e02827-2-18S	e02827-2-18S	1	e02827-2-18S_S64_L001_R1_001.fastq.gz	e02827-2-18S_S64_L001_R2_001.fastq.gz	12127	12127	11859	11859	11826	11826	11770	11770	11770
e02828-1-18S	e02828-1-18S	1	e02828-1-18S_S28_L001_R1_001.fastq.gz	e02828-1-18S_S28_L001_R2_001.fastq.gz	38725	38725	37884	37884	37799	37799	37415	37415	37391
e02828-2-18S	e02828-2-18S	1	e02828-2-18S_S65_L001_R1_001.fastq.gz	e02828-2-18S_S65_L001_R2_001.fastq.gz	23919	23919	23379	23379	23311	23311	22870	22870	22842
e02829-1-18S	e02829-1-18S	1	e02829-1-18S_S29_L001_R1_001.fastq.gz	e02829-1-18S_S29_L001_R2_001.fastq.gz	50437	50437	49496	49496	49401	49401	48418	48418	48331
e02829-2-18S	e02829-2-18S	1	e02829-2-18S_S66_L001_R1_001.fastq.gz	e02829-2-18S_S66_L001_R2_001.fastq.gz	21840	21840	21385	21385	21330	21330	20835	20835	20832
e02830-1-18S	e02830-1-18S	1	e02830-1-18S_S30_L001_R1_001.fastq.gz	e02830-1-18S_S30_L001_R2_001.fastq.gz	54298	54298	53284	53284	53169	53169	53024	53024	53024
e02830-2-18S	e02830-2-18S	1	e02830-2-18S_S67_L001_R1_001.fastq.gz	e02830-2-18S_S67_L001_R2_001.fastq.gz	1105	1105	994	994	989	989	946	946	946
e02831-1-18S	e02831-1-18S	1	e02831-1-18S_S31_L001_R1_001.fastq.gz	e02831-1-18S_S31_L001_R2_001.fastq.gz	226834	226834	222745	222745	222307	222307	219348	219348	218135
e02831-2-18S	e02831-2-18S	1	e02831-2-18S_S68_L001_R1_001.fastq.gz	e02831-2-18S_S68_L001_R2_001.fastq.gz	31388	31388	30774	30774	30712	30712	30347	30347	30302
e02832-1-18S	e02832-1-18S	1	e02832-1-18S_S32_L001_R1_001.fastq.gz	e02832-1-18S_S32_L001_R2_001.fastq.gz	36582	36582	35850	35850	33810	33810	33011	33011	32915
